Index,Program.Name,City,Country,Region,College
376,CIEE: Open Campus,multiple cities,South Korea,multiple regions,The Ohio State University
377,CIEE: Open Campus,multiple cities,Spain,multiple regions,The Ohio State University
378,CIEE: Open Campus,multiple cities,United Kingdom,multiple regions,The Ohio State University
379,CIEE: Prague,Prague,Czech Republic,Europe,The Ohio State University
380,"CIEE: Santiago, Dominican Republic, Liberal Arts",Santiago,Dominican Republic,Latin America,The Ohio State University
381,CIEE: Seoul,Seoul,South Korea,Asia,The Ohio State University
382,CIEE: Seoul (Summer),Seoul,South Korea,Asia,The Ohio State University
383,CIEE: Seville,Seville,Spain,Europe,The Ohio State University
384,"CIEE: Seville, Language and Culture (Summer)",Seville,Spain,Europe,The Ohio State University
385,CIEE: Shanghai,Shanghai,China,Asia,The Ohio State University
386,CIEE: Shanghai (Summer),Shanghai,China,Asia,The Ohio State University
387,CIEE: Singapore,Singapore,Singapore,Asia,The Ohio State University
388,Connect 123: Buenos Aires Internship (Summer),Buenos Aires,Argentina,Latin America,The Ohio State University
389,Connect 123: Cape Town Internship (Summer),Cape Town,South Africa,Africa,The Ohio State University
390,Connect 123: Sydney Internship (Summer),Sydney,Australia,Oceania,The Ohio State University
391,CRCC Asia: Seoul Internship (Summer),Seoul,South Korea,Asia,The Ohio State University
392,CRCC Asia: Shanghai Internship (Summer),Shanghai,China,Asia,The Ohio State University
393,CRCC Asia: Tokyo Internship (Summer),Tokyo,Japan,Asia,The Ohio State University
394,CzechMates: Brno,Brno,Czech Republic,Europe,The Ohio State University
395,"CzechMates: Brno, Internship and Summer Course (Summer)",multiple cities,Austria,Europe,The Ohio State University
396,"CzechMates: Brno, Internship and Summer Course (Summer)",multiple cities,Czech Republic,Europe,The Ohio State University
397,"CzechMates: Brno, Internship and Summer Course (Summer)",multiple cities,Hungary,Europe,The Ohio State University
398,"CzechMates: Brno, Internship and Summer Course (Summer)",multiple cities,Poland,Europe,The Ohio State University
399,"Dept AGR: Nottingham, University of Nottingham
(Exchange)",Nottingham,United Kingdom,Europe,The Ohio State University
400,"Dept ARCH: Rome, Pantheon Institute, Architecture",Rome,Italy,Europe,The Ohio State University
401,"Dept ENGR & EMS: Sendai, Tohoku University
(Exchange)",Sendai,Japan,Asia,The Ohio State University
402,"Dept ENGR & EMS: Sendai, Tohoku University STEM Summer Program (Summer)",Sendai,Japan,Asia,The Ohio State University
403,"Dept ENGR: Haifa, Technion Institute of Technology
(Exchange)",Haifa,Israel,Middle East,The Ohio State University
404,"Dept ENGR: Jonkoping, Jonkoping University, Engineering
(Exchange)",Jonkoping,Sweden,Europe,The Ohio State University
405,"Dept ENGR: Lyon, INNOV@INSA (Summer)",Lyon,France,Europe,The Ohio State University
406,Dept ENGR: Pforzheim Engineers Made in Germany (Summer),Pforzheim,Germany,Europe,The Ohio State University
407,"Dept ENGR: San Sebastian, Tecnun University of Navarra
(Exchange)",San Sebastian,Spain,Europe,The Ohio State University
408,"Dept ENGR: Southampton, University of Southampton
(Exchange)",Southampton,United Kingdom,Europe,The Ohio State University
409,"Dept Kines: Loughborough, Loughborough University
(Exchange)",Loughborough,United Kingdom,Europe,The Ohio State University
410,"Dept LARCH: Bonn, AIB",Bonn,Germany,Europe,The Ohio State University
411,"Dept MARSC: Southampton, University of Southampton
(Exchange)",Southampton,United Kingdom,Europe,The Ohio State University
412,"DIS: Copenhagen, Study in Copenhagen",Copenhagen,Denmark,Europe,The Ohio State University
413,"DIS: Stockholm, Study in Stockholm",Stockholm,Sweden,Europe,The Ohio State University
414,DIS: Summer in Scandinavia (Summer),multiple cities,Denmark,Europe,The Ohio State University
415,DIS: Summer in Scandinavia (Summer),multiple cities,Sweden,Europe,The Ohio State University
416,Dublin: University College Dublin,Dublin,Ireland,Europe,The Ohio State University
417,Dublin: University College Dublin Organic Chemistry Program (Summer),Dublin,Ireland,Europe,The Ohio State University
418,Dublin: University College Dublin Physics Program (Summer),Dublin,Ireland,Europe,The Ohio State University
419,Dubrovnik: Rochester Institute of Technology (RIT),Dubrovnik,Croatia,Europe,The Ohio State University
420,Florence and Elba: Marine Biology in Italy (Maymester),multiple cities,Italy,Europe,The Ohio State University
421,Florence: Florence University of the Arts,Florence,Italy,Europe,The Ohio State University
422,Florence: Florence University of the Arts (Maymester and Summer),Florence,Italy,Europe,The Ohio State University
423,Florence: International Studies Institute (ISI) at Palazzo Rucellai,Florence,Italy,Europe,The Ohio State University
424,Florence: International Studies Institute (ISI) at Palazzo Rucellai (Summer),Florence,Italy,Europe,The Ohio State University
425,"Freiburg, University of Freiburg
(Exchange)",Freiburg,Germany,Europe,The Ohio State University
426,"Freiburg: Goethe-Institut, Intensive German Culture and Language (Summer)",Freiburg,Germany,Europe,The Ohio State University
427,"Glasgow: University of Glasgow, College of Medical Veterinary & Life Sciences",Glasgow,United Kingdom,Europe,The Ohio State University
428,"Gold Coast, Bond University",Gold Coast,Australia,Oceania,The Ohio State University
429,Haifa: University of Haifa,Haifa,Israel,Middle East,The Ohio State University
430,Hamilton: University of Waikato,Hamilton,New Zealand,Oceania,The Ohio State University
431,"Harrisburg: Darmstadt, Hochschule Darmstadt University of Applied Sciences
(Exchange)",Darmstadt,Germany,Europe,The Ohio State University
432,"Hong Kong: Chinese University of Hong Kong
(Exchange)",Hong Kong,Hong Kong,Asia,The Ohio State University
433,"Hong Kong: Hong Kong Polytechnic University
(Exchange)",Hong Kong,Hong Kong,Asia,The Ohio State University
434,IAU: Aix-en-Provence Campus,Aix-en-Provence,France,Europe,The Ohio State University
435,IAU: Aix-en-Provence Campus (Summer),Aix-en-Provence,France,Europe,The Ohio State University
436,IES: Amsterdam,Amsterdam,Netherlands,Europe,The Ohio State University
437,IES: Barcelona,Barcelona,Spain,Europe,The Ohio State University
438,"IES: Barcelona, Engineering",Barcelona,Spain,Europe,The Ohio State University
439,"IES: Barcelona, Language and Area Studies Program (Summer)",Barcelona,Spain,Europe,The Ohio State University
440,IES: Berlin Internship Program (Summer),Berlin,Germany,Europe,The Ohio State University
441,"IES: Berlin, English Taught Programs",Berlin,Germany,Europe,The Ohio State University
442,"IES: Berlin, Language and Culture (Summer)",Berlin,Germany,Europe,The Ohio State University
443,"IES: Berlin, Language, Culture, & Politics",Berlin,Germany,Europe,The Ohio State University
444,"IES: Buenos Aires and Santiago, Emerging Economies",multiple cities,Argentina,Latin America,The Ohio State University
445,"IES: Buenos Aires and Santiago, Emerging Economies",multiple cities,Chile,Latin America,The Ohio State University
446,"IES: Buenos Aires and Santiago, Emerging Economies",multiple cities,Peru,Latin America,The Ohio State University
447,"IES: Buenos Aires, Advanced Spanish Immersion",Buenos Aires,Argentina,Latin America,The Ohio State University
448,"IES: Buenos Aires, Culture & Language (Summer)",Buenos Aires,Argentina,Latin America,The Ohio State University
449,"IES: Buenos Aires, Society & Culture",Buenos Aires,Argentina,Latin America,The Ohio State University
450,"IES: Cape Town, Engineering & Science",Cape Town,South Africa,Africa,The Ohio State University
451,"IES: Cape Town, Health, Culture & Development",Cape Town,South Africa,Africa,The Ohio State University
452,IES: Dublin Internship (Summer),Dublin,Ireland,Europe,The Ohio State University
453,"IES: Dublin, Engineering",Dublin,Ireland,Europe,The Ohio State University
454,"IES: Dublin, History, Politics, & Social Change",Dublin,Ireland,Europe,The Ohio State University
455,"IES: Dublin, Trinity College Program",Dublin,Ireland,Europe,The Ohio State University
456,"IES: Freiburg, Environmental Studies & Sustainability",Freiburg,Germany,Europe,The Ohio State University
457,"IES: Freiburg, Politics, Law, & Economics",Freiburg,Germany,Europe,The Ohio State University
458,"IES: Granada, Liberal Arts & Language",Granada,Spain,Europe,The Ohio State University
459,IES: London Internship (Summer),London,United Kingdom,Europe,The Ohio State University
460,"IES: London, City St. George's, University of London",London,United Kingdom,Europe,The Ohio State University
461,"IES: London, Health Practice & Policy",multiple cities,Jamaica,multiple regions,The Ohio State University
462,"IES: London, Health Practice & Policy",multiple cities,United Kingdom,multiple regions,The Ohio State University
463,"IES: London, Queen Mary University",London,United Kingdom,Europe,The Ohio State University
464,"IES: London, Study London",London,United Kingdom,Europe,The Ohio State University
465,"IES: London, University College London",London,United Kingdom,Europe,The Ohio State University
466,"IES: Madrid, Business, Economics & Social Sciences",Madrid,Spain,Europe,The Ohio State University
467,"IES: Madrid, Engineering, Math, and Science",Madrid,Spain,Europe,The Ohio State University
468,"IES: Madrid, Language & Cultural Studies (Summer)",Madrid,Spain,Europe,The Ohio State University
469,"IES: Madrid, Language and Area Studies",Madrid,Spain,Europe,The Ohio State University
470,IES: Milan,Milan,Italy,Europe,The Ohio State University
471,"IES: Nagoya, Language and Culture (Summer)",Nagoya,Japan,Asia,The Ohio State University
472,"IES: Nagoya, Nanzan University",Nagoya,Japan,Asia,The Ohio State University
473,"IES: Oxford, St. Catherine's College",multiple cities,United Kingdom,Europe,The Ohio State University
474,IES: Paris Internship Program (Summer),Paris,France,Europe,The Ohio State University
475,"IES: Paris, Business and International Affairs",Paris,France,Europe,The Ohio State University
476,"IES: Paris, French Studies Program",Paris,France,Europe,The Ohio State University
477,"IES: Rabat, Study in Rabat",Rabat,Morocco,Middle East,The Ohio State University
478,IES: Rome,Rome,Italy,Europe,The Ohio State University
479,IES: Rome Internship Program (Summer),Rome,Italy,Europe,The Ohio State University
480,"IES: Salamanca, Study in Salamanca",Salamanca,Spain,Europe,The Ohio State University
481,IES: Santiago Internship Program (Summer),Santiago,Chile,Latin America,The Ohio State University
482,"IES: Santiago, Chile, Health Studies",Santiago,Chile,Latin America,The Ohio State University
483,"IES: Santiago, Chile, Politics, Social Justice & Language",Santiago,Chile,Latin America,The Ohio State University
484,"IES: Santiago, Health Studies (Summer)",Santiago,Chile,Latin America,The Ohio State University
485,"IES: Siena, Business & Economics of Italian Food & Wine",Siena,Italy,Europe,The Ohio State University
486,"IES: Siena, Study in Tuscany",Siena,Italy,Europe,The Ohio State University
487,"IES: Sydney, The University of Sydney",Sydney,Australia,Oceania,The Ohio State University
488,IES: Tokyo (Summer),Tokyo,Japan,Asia,The Ohio State University
489,"IES: Tokyo, Language and Culture",Tokyo,Japan,Asia,The Ohio State University
490,IES: Vienna,Vienna,Austria,Europe,The Ohio State University
491,IES: Vienna Internship (Summer),Vienna,Austria,Europe,The Ohio State University
492,IES: Vienna Music History and Performance (Summer),Vienna,Austria,Europe,The Ohio State University
493,"IES: Vienna, Music Program",Vienna,Austria,Europe,The Ohio State University
494,"IES: Vienna, Psychology (Summer)",Vienna,Austria,Europe,The Ohio State University
495,"IFE: Field Study in Marseille, Paris and Strasbourg",multiple cities,France,Europe,The Ohio State University
496,ISA: EuroScholars,multiple cities,Belgium,Europe,The Ohio State University
497,ISA: EuroScholars,multiple cities,Netherlands,Europe,The Ohio State University
498,ISA: EuroScholars,multiple cities,Switzerland,Europe,The Ohio State University
499,ISA: Madrid Internship (Summer),Madrid,Spain,Europe,The Ohio State University
500,"Kuala Lumpur: Monash University Malaysia
(Exchange)",Kuala Lumpur,Malaysia,Asia,The Ohio State University
501,"Leeds: University of Leeds
(Exchange)",Leeds,United Kingdom,Europe,The Ohio State University
502,Leeds: University of Leeds (Summer),multiple cities,United Kingdom,Europe,The Ohio State University
503,Limerick: University of Limerick,Limerick,Ireland,Europe,The Ohio State University
504,"London: FSU, Theatre Academy London",London,United Kingdom,Europe,The Ohio State University
505,"Marburg: Philipps University, Intensive German Studies Program",Marburg,Germany,Europe,The Ohio State University
506,"Marburg: Philipps University, International Summer University (Summer)",Marburg,Germany,Europe,The Ohio State University
507,"Marburg: Philipps University, International Undergraduate Study Program",Marburg,Germany,Europe,The Ohio State University
508,"Melbourne: Monash University
(Exchange)",Melbourne,Australia,Oceania,The Ohio State University
509,"Melbourne: University of Melbourne
(Exchange)",Melbourne,Australia,Oceania,The Ohio State University
510,"Mito: Ibaraki University
(Exchange)",Mito,Japan,Asia,The Ohio State University
511,Paris: AgroParisTech Summer Internship (Summer),Paris,France,Europe,The Ohio State University
512,Perreault Fellows Program: International Internship and Global Leadership Fellowship,Various,Various,Various,The Ohio State University
513,Perugia: Umbra Institute,Perugia,Italy,Europe,The Ohio State University
514,Perugia: Umbra Trasimeno Archaeology Field School (Summer),Perugia,Italy,Europe,The Ohio State University
515,Remote Internship: IES Abroad,Virtual,Virtual,Virtual,The Ohio State University
516,"Seoul & Suwon: Sungkyunkwan University
(Exchange)",multiple cities,South Korea,Asia,The Ohio State University
517,"Seoul: Sogang University
(Exchange)",Seoul,South Korea,Asia,The Ohio State University
518,"Seoul: Sungkyunkwan University, International Summer Semester (Summer)",Seoul,South Korea,Asia,The Ohio State University
519,SFS: Australia,Yungaburra,Australia,Oceania,The Ohio State University
520,SFS: Australia (Summer),multiple cities,Australia,multiple regions,The Ohio State University
521,SFS: Australia (Summer),multiple cities,Indonesia,multiple regions,The Ohio State University
522,SFS: Bhutan,multiple cities,Bhutan,Asia,The Ohio State University
523,SFS: Cambodia,Siem Reap,Cambodia,Asia,The Ohio State University
524,SFS: Costa Rica,Atenas,Costa Rica,Latin America,The Ohio State University
525,SFS: Kenya,multiple cities,Kenya,Africa,The Ohio State University
526,SFS: Kenya,multiple cities,Rwanda,Africa,The Ohio State University
527,SFS: Panama,Bocas del Toro,Panama,Latin America,The Ohio State University
528,SFS: Tanzania,Rhotia,Tanzania,Africa,The Ohio State University
529,"SFS: Tanzania and Kenya, Wildlife Management & Conservation (Summer)",multiple cities,Kenya,Africa,The Ohio State University
530,"SFS: Tanzania and Kenya, Wildlife Management & Conservation (Summer)",multiple cities,Tanzania,Africa,The Ohio State University
531,SFS: Turks and Caicos (Summer),Grand Turk,Turks and Caicos Islands,Latin America,The Ohio State University
532,"Singapore: National University of Singapore
(Exchange)",Singapore,Singapore,Asia,The Ohio State University
533,SRAS: Intensive Russian Language & Culture (Summer),Riga,Latvia,Europe,The Ohio State University
534,"Sydney: University of New South Wales
(Exchange)",Sydney,Australia,Oceania,The Ohio State University
535,"Tel Aviv: Tel Aviv University, Semester or Year Study Abroad Program",Tel Aviv,Israel,Middle East,The Ohio State University
536,Temple: Rome,Rome,Italy,Europe,The Ohio State University
537,The GREEN Program: Iceland (Summer),Reykjavik,Iceland,Europe,The Ohio State University
538,The GREEN Program: Peru (Summer),Cusco,Peru,South America,The Ohio State University
539,"Thessaloniki, Greece: Perrotis College (Summer)",Thessaloniki,Greece,Europe,The Ohio State University
540,"University of Minnesota LAC: Ecuador, Studies in International Development",Quito,Ecuador,South America,The Ohio State University
541,"University of Minnesota LAC: Montpellier, Language & Culture in Southern France",Montpellier,France,Europe,The Ohio State University
542,"University of Minnesota LAC: Senegal, Studies in International Development",Dakar,Senegal,Africa,The Ohio State University
543,"University of Minnesota LAC: Thailand, Studies in International Development",Chiang Mai,Thailand,Asia,The Ohio State University
544,"Valencia: University of Virginia, Engineering",Valencia,Spain,Europe,The Ohio State University
545,"Valencia: University of Virginia, Global Health (Summer)",Valencia,Spain,Europe,The Ohio State University
546,"Valencia: University of Virginia, Language and Culture",Valencia,Spain,Europe,The Ohio State University
547,Virtual Internship: Connect 123,multiple cities,Argentina,multiple regions,The Ohio State University
548,Virtual Internship: Connect 123,multiple cities,Australia,multiple regions,The Ohio State University
549,Virtual Internship: Connect 123,multiple cities,China,multiple regions,The Ohio State University
550,Virtual Internship: Connect 123,multiple cities,Ireland,multiple regions,The Ohio State University
551,Virtual Internship: Connect 123,multiple cities,South Africa,multiple regions,The Ohio State University
552,Virtual Internship: Connect 123,multiple cities,Spain,multiple regions,The Ohio State University
553,Virtual Internship: Connect 123,multiple cities,Virtual,multiple regions,The Ohio State University
554,"Wellington: Victoria University of Wellington
(Exchange)",Wellington,New Zealand,Oceania,The Ohio State University
